game_title,game_id
Alewa,160698
Puzzle Scout,264279
Sweave,264278
Connectricity,187160
Soja Man,187163
Akonta,188623
Base2lab Games,265553
Anti-Poacher Xtreme,256893
Bubble Attack,268100
Penalty Challenge,212812
Ayoble,208139
Bill the Bowman,6517
Subway Surfers Seoul,111028
MTN Data Pro,254235
Tinbo Match,202864
Tinbo Quest,202901
Tinbo Strike,202908
Female Penalty Kicks,179560
Matatu Mike,193168
Tinbo Tales,202925
Tinbo Attack,202865
Tinbo Fuse,202862
One liner,9150
Dakar Secrets(Volume 2),267928
Fruit Spin,267873
Djambar Match 3 ,267870
Flavors of Africa,267878
Afro Racers,267890
Tip Top Monkey,267876
Afro Kick Tournament,267840
KayLudo,267830
Afro Kick Tournament,274894
Kayfish,273641
Juggle FC,273343
Construct a Bridge,20812
Wild Memory Match,25619
Banana Running,17555
Construct the Roads,27707
Chuck Chicken Memory Match,20121
Classic Solitaire,11013
CNY Mahjong,20568
Asante,173452
Seashore Treasure,9154
Echo Simon,17556
Onet Connect,25989
Hardest Game on Earth ,25531
Dumb Ways to Die  - The Original,23243
Drone Pickup Service,22305
Happy Hour,24307
Jump and Splat,7561
Crazy Truck Parking,17557
Happy Slushie,24308
Car Rush (French),165406
Car Rush,111058
Goalkeeper Challenge,125834
Nickelodeon Soccer Stars (French),166168
Monster Truck Driving,25910
Winter Soccer,11015
CR7 Penalty Kicks,112032
Ultimate Baseball,25880
Oddbods Soccer Challenge,25923
Bobblehead Soccer Royale,14931
Rugby Extreme,26074
Pro Wrestling Action,26027
Expert Goalkeeper,7530
Extreme Baseball,11014
Goalkeeper Challenge (French),168265
Ice Hockey Shootout ,25870
Power Badminton,25999
Crossbar Challenge,125837
CR7 Penalty Kicks (French),168264
Nickelodeon Soccer Stars,166167
SpongeBob Run (French),165405
Ultimate Ninja Swing,25878
Parkour Run,7149
Gravity Kid,24299
Cat Wizard Defense,19330
Zombie Buster (French),168242
Triangle Wars,25883
Marceline's Ice Blast | Adventure Time | Cartoon Network,111032
SpongeBob Run,111657
Protect the Kingdom,26028
Spidey Swing,25891
My Sweet Adventure,25913
Ben 10: Omniverse,118223
Epic City Driver,23245
Zombie Buster,111029
TMNT Epic Mutant Missions,112395
Santa Airlines,26075
